Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,1997,0.683,82,34.3,76.9,8.0,22.4,26.3,54.5,18.2,23.8,12.5,28.7,19.0,8.5,5.2,15.0,19.4,94.8,82,34.2,78.7,5.9,17.1,28.3,61.6,15.1,20.4,12.7,27.1,20.3,7.4,4.0,15.5,21.3,89.4,28.8,0.08,5.52,108.5,102.3,86.8,0.31,0.291,0.542,0.498,14.6,31.5,0.236,0.472,15.0,69.2,0.191,Omni Coliseum,14288,0.125
Boston Celtics,1997,0.183,82,37.4,85.0,5.7,16.2,31.7,68.7,20.1,26.8,13.4,26.7,21.9,9.9,3.8,16.4,23.4,100.6,82,41.0,81.7,6.0,16.5,35.0,65.2,19.8,27.5,12.3,32.0,26.0,8.8,6.8,17.6,22.3,107.9,26.1,0.71,-6.62,103.9,111.4,95.8,0.316,0.191,0.52,0.474,14.5,29.4,0.237,0.539,15.8,68.5,0.243,FleetCenter,16196,0.0
Charlotte Hornets,1997,0.659,82,36.4,77.3,7.2,16.9,29.2,60.5,18.8,24.2,11.1,28.0,24.6,7.3,4.3,14.7,20.8,98.9,82,37.3,81.1,5.9,16.6,31.3,64.5,16.5,22.6,13.1,27.5,21.7,6.5,4.1,13.9,21.7,97.0,29.1,0.26,2.13,110.9,108.9,88.6,0.313,0.218,0.562,0.518,14.3,28.7,0.243,0.496,13.3,68.1,0.204,Charlotte Coliseum,24042,0.0
Chicago Bulls,1997,0.841,82,40.0,84.4,6.4,17.1,33.6,67.3,16.8,22.5,15.1,30.0,26.1,8.7,4.0,13.5,19.7,103.1,82,35.3,81.1,5.7,17.2,29.6,64.0,15.9,21.6,13.3,26.9,19.7,7.6,3.5,15.8,21.1,92.3,30.7,-0.11,10.7,114.4,102.4,90.0,0.267,0.203,0.547,0.511,12.5,35.9,0.199,0.471,14.8,69.3,0.196,United Center,23865,1.0
Cleveland Cavaliers,1997,0.512,82,33.0,72.8,5.9,15.7,27.1,57.2,15.6,21.6,11.1,26.3,20.9,8.0,3.8,14.5,23.0,87.5,82,30.3,68.8,5.6,15.0,24.7,53.8,19.4,26.1,10.3,26.7,20.1,6.7,4.3,16.2,21.3,85.6,26.7,0.47,2.32,104.6,102.4,82.9,0.297,0.215,0.531,0.493,15.0,29.4,0.215,0.482,16.8,71.9,0.281,Gund Arena,16895,0.0
Dallas Mavericks,1997,0.293,82,34.3,78.7,5.2,16.0,29.1,62.6,16.8,23.4,12.7,27.6,20.3,8.0,4.3,16.1,21.9,90.6,82,36.2,78.9,6.6,17.6,29.6,61.3,18.1,24.1,13.4,29.6,21.9,8.4,5.3,15.7,21.0,97.0,27.1,-0.12,-6.47,101.1,108.2,89.0,0.297,0.204,0.509,0.469,15.4,30.0,0.213,0.5,14.9,67.3,0.229,Reunion Arena,15102,0.0
Denver Nuggets,1997,0.256,82,35.8,81.5,7.8,20.9,28.0,60.7,18.5,24.3,12.1,29.9,23.0,6.1,5.9,16.6,21.8,97.8,82,40.2,86.1,5.9,15.0,34.3,71.1,17.8,23.7,13.2,30.0,22.5,8.8,5.5,12.9,21.0,104.1,28.6,-0.12,-6.4,104.5,111.2,92.4,0.298,0.256,0.53,0.486,15.2,28.8,0.227,0.501,11.8,69.3,0.206,McNichols Sports Arena,11254,0.0
Detroit Pistons,1997,0.659,82,34.5,74.3,7.1,18.3,27.4,56.0,18.1,24.3,10.5,28.0,19.0,7.7,3.5,12.7,20.1,94.2,82,33.8,76.0,6.4,17.4,27.3,58.5,15.0,20.3,11.8,27.6,21.9,6.0,3.4,14.6,21.8,88.9,28.2,0.2,5.45,110.6,104.4,84.5,0.327,0.246,0.554,0.512,13.0,27.5,0.244,0.487,14.6,70.4,0.197,The Palace of Auburn Hills,20014,0.0
Golden State Warriors,1997,0.366,82,36.5,80.1,5.9,16.6,30.7,63.5,20.7,26.6,13.2,27.5,22.2,7.5,4.4,17.2,21.8,99.6,82,39.0,82.1,7.1,19.0,31.9,63.1,19.2,25.6,13.3,27.7,26.3,10.0,4.8,15.7,23.0,104.4,26.7,-0.2,-4.9,107.2,112.2,91.9,0.332,0.208,0.543,0.493,15.8,32.3,0.258,0.518,14.4,67.5,0.234,San Jose Arena,15167,0.0
Houston Rockets,1997,0.695,82,37.0,79.1,8.2,22.4,28.9,56.6,18.3,24.3,11.3,31.3,24.5,8.4,4.2,16.6,19.6,100.6,82,37.0,83.5,6.3,18.9,30.6,64.6,15.9,21.8,12.5,28.4,22.4,8.9,4.5,14.3,21.2,96.1,30.8,-0.62,3.85,108.8,104.0,91.6,0.307,0.284,0.56,0.52,15.6,28.4,0.232,0.481,13.3,71.4,0.19,The Summit,16285,0.25
Indiana Pacers,1997,0.476,82,34.8,76.3,5.2,13.8,29.5,62.5,20.6,28.5,12.5,29.1,21.3,7.1,4.8,16.3,24.1,95.4,82,34.1,77.5,6.1,17.6,28.0,60.0,20.0,26.6,12.2,27.6,21.2,8.5,5.1,15.7,23.8,94.4,27.9,0.52,1.49,105.8,104.7,89.0,0.374,0.181,0.537,0.49,15.5,31.3,0.27,0.48,15.0,70.4,0.258,Market Square Arena,15530,0.0
Los Angeles Clippers,1997,0.439,82,36.5,81.7,5.8,16.3,30.7,65.3,18.5,25.3,13.3,27.3,20.3,8.9,5.4,16.0,24.0,97.2,82,36.3,78.6,5.9,16.4,30.4,62.2,21.1,28.2,12.8,29.9,20.2,9.0,5.1,16.7,22.7,99.5,25.5,-0.31,-2.66,105.1,107.6,91.3,0.31,0.2,0.524,0.482,14.7,30.8,0.227,0.499,15.5,68.1,0.269,Los Angeles Memorial Sports Arena,8836,0.0
Los Angeles Lakers,1997,0.683,82,36.8,81.0,6.7,18.3,30.1,62.7,19.7,28.4,13.3,29.4,22.5,9.0,7.0,14.9,22.2,100.0,82,35.6,80.7,5.8,16.8,29.8,63.9,18.6,25.9,13.5,28.9,22.9,7.6,4.7,16.4,23.6,95.7,26.5,-0.61,3.66,108.3,103.7,91.1,0.351,0.226,0.535,0.496,13.7,31.6,0.243,0.478,15.1,68.5,0.231,Great Western Forum,17004,0.125
Miami Heat,1997,0.744,82,34.4,76.0,8.3,22.7,26.1,53.3,17.7,24.7,11.7,29.3,21.2,7.9,5.4,15.9,23.4,94.8,82,32.8,75.9,5.0,13.8,27.8,62.1,18.8,25.7,12.2,28.3,18.4,7.9,4.8,16.1,22.3,89.3,27.2,0.07,5.56,106.8,100.6,88.2,0.324,0.299,0.546,0.507,15.5,29.2,0.233,0.465,15.6,70.6,0.248,Miami Arena,15004,0.25
Milwaukee Bucks,1997,0.402,82,36.2,76.9,4.0,11.2,32.2,65.6,19.0,25.7,11.6,27.6,19.6,7.7,4.2,15.7,23.1,95.3,82,36.6,77.5,4.5,13.2,32.1,64.3,19.6,26.8,11.9,27.5,22.2,8.4,4.8,14.6,21.7,97.2,27.3,0.51,-1.38,106.2,108.3,89.5,0.334,0.146,0.541,0.496,15.1,29.7,0.248,0.501,14.1,69.9,0.253,Bradley Center,15514,0.0
Minnesota Timberwolves,1997,0.488,82,35.8,78.5,4.5,13.3,31.3,65.2,20.0,26.6,11.7,28.1,22.9,7.5,6.8,15.2,22.2,96.1,82,35.9,79.7,5.7,15.7,30.2,64.0,20.1,26.6,13.0,28.8,21.8,8.0,5.4,15.6,22.3,97.6,26.3,-0.35,-1.82,105.5,107.1,90.7,0.339,0.17,0.533,0.485,14.4,28.8,0.254,0.486,14.6,68.3,0.252,Target Center,17018,0.0
New Jersey Nets,1997,0.317,82,36.5,86.5,5.9,16.7,30.6,69.8,18.3,24.8,17.2,29.0,21.0,8.3,5.9,15.7,22.7,97.2,82,37.8,81.5,6.3,17.0,31.5,64.5,19.9,26.6,13.0,30.0,23.5,8.2,6.3,15.3,21.7,101.8,26.8,0.67,-3.89,104.7,109.7,92.4,0.286,0.193,0.499,0.456,13.9,36.4,0.212,0.503,14.1,69.0,0.244,Continental Airlines Arena,15800,0.0
New York Knicks,1997,0.695,82,35.1,75.9,5.7,15.8,29.4,60.2,19.3,25.8,11.9,30.7,22.1,7.7,4.6,17.8,24.8,95.4,82,32.5,76.5,5.9,16.8,26.6,59.7,21.4,29.1,11.1,27.1,19.4,8.9,3.6,16.3,23.0,92.2,29.7,0.18,3.31,104.4,101.0,90.5,0.34,0.208,0.546,0.501,17.0,30.5,0.255,0.463,15.4,73.4,0.279,Madison Square Garden (IV),19763,0.125
