Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2001,0.305,82,35.1,81.3,4.1,11.4,31.0,69.9,16.8,22.1,12.5,30.4,19.0,7.7,4.7,16.7,22.7,91.0,82,35.6,80.6,4.8,13.2,30.8,67.4,20.1,26.3,12.5,30.9,21.2,8.5,6.3,14.8,20.7,96.2,26.1,-0.34,-5.55,98.7,104.3,91.9,0.272,0.14,0.5,0.456,15.5,28.9,0.206,0.472,13.8,70.8,0.249,Philips Arena,13667,0.0
Boston Celtics,2001,0.439,82,33.8,79.1,7.2,19.9,26.6,59.2,19.8,26.7,10.9,28.9,20.8,9.4,4.1,15.7,23.8,94.6,82,35.8,78.0,5.2,14.3,30.5,63.7,19.9,26.6,10.8,32.3,23.0,7.9,5.4,17.1,23.2,96.8,25.9,-0.26,-2.4,101.4,103.7,92.6,0.338,0.252,0.521,0.473,14.7,25.3,0.25,0.493,16.0,72.7,0.256,FleetCenter,15346,0.0
Charlotte Hornets,2001,0.561,82,34.1,79.3,4.1,12.0,30.0,67.3,19.5,26.2,12.6,31.8,23.2,8.1,5.5,14.4,21.4,91.9,82,33.7,79.3,4.7,13.2,29.0,66.1,17.6,23.3,10.9,29.7,21.3,7.5,4.6,14.7,21.6,89.8,28.2,-0.65,1.45,101.8,99.5,89.4,0.33,0.151,0.506,0.457,13.7,29.8,0.246,0.456,14.1,74.5,0.222,Charlotte Coliseum,15010,0.125
Chicago Bulls,2001,0.183,82,33.2,78.2,4.0,11.6,29.2,66.6,17.2,23.3,11.3,27.6,22.1,8.2,4.6,15.8,23.2,87.6,82,36.4,77.2,4.2,11.9,32.2,65.3,19.6,26.9,11.7,31.1,23.6,7.7,5.2,14.8,21.4,96.7,23.2,0.01,-9.09,97.2,107.3,89.3,0.298,0.148,0.495,0.45,15.1,26.6,0.22,0.499,14.3,70.3,0.254,United Center,21674,0.0
Cleveland Cavaliers,2001,0.366,82,35.2,79.7,2.7,8.0,32.6,71.6,19.0,24.9,12.4,29.8,20.8,7.8,5.3,16.5,23.2,92.2,82,35.7,80.3,5.1,14.1,30.5,66.2,19.9,25.9,12.1,29.3,22.9,8.5,6.6,15.0,22.1,96.5,26.9,-0.23,-4.48,100.3,104.9,91.2,0.312,0.101,0.509,0.459,15.4,29.7,0.239,0.477,14.1,71.1,0.248,Gund Arena,15873,0.0
Dallas Mavericks,2001,0.646,82,37.6,81.9,6.3,16.5,31.3,65.4,18.9,23.8,10.1,31.4,21.2,7.5,6.0,13.9,23.3,100.5,82,35.8,81.6,4.6,13.9,31.2,67.7,19.9,27.2,13.0,32.0,21.7,7.6,4.6,15.5,22.5,96.2,26.6,0.32,4.61,107.1,102.6,93.2,0.291,0.202,0.544,0.498,13.1,24.1,0.231,0.467,14.2,70.7,0.244,Reunion Arena,16591,0.125
Denver Nuggets,2001,0.488,82,36.3,83.9,6.2,17.6,30.1,66.3,17.7,24.0,12.7,31.5,24.0,6.7,6.6,13.9,22.2,96.6,82,37.6,84.3,5.1,14.2,32.5,70.1,18.8,25.0,12.3,32.2,24.9,7.2,6.1,13.1,21.4,99.0,27.9,0.64,-1.83,103.7,106.3,92.6,0.286,0.21,0.511,0.47,12.8,28.3,0.211,0.476,12.1,71.8,0.223,Pepsi Center,15105,0.0
Detroit Pistons,2001,0.39,82,35.6,83.9,4.7,13.6,30.9,70.3,19.6,27.2,13.5,32.0,19.9,7.5,5.5,15.9,23.8,95.6,82,36.3,83.5,5.2,15.0,31.1,68.5,19.5,26.5,12.3,32.6,22.7,8.2,4.8,15.5,25.1,97.3,27.1,-0.39,-2.08,100.0,101.8,94.7,0.325,0.162,0.498,0.453,14.2,29.3,0.234,0.466,14.0,72.2,0.233,The Palace of Auburn Hills,14813,0.0
Golden State Warriors,2001,0.207,82,35.8,87.5,3.4,11.8,32.4,75.7,17.4,24.7,16.4,29.1,21.8,9.0,5.0,15.9,21.1,92.5,82,38.8,82.2,5.4,14.1,33.4,68.1,18.6,24.5,12.7,32.8,24.9,8.8,6.0,16.4,21.5,101.5,26.6,0.94,-8.11,97.8,107.4,94.1,0.282,0.134,0.47,0.429,13.9,33.3,0.199,0.504,15.0,69.7,0.227,The Arena in Oakland,14439,0.0
Houston Rockets,2001,0.549,82,35.9,79.2,6.1,17.2,29.7,62.0,19.3,25.4,11.2,30.8,19.7,7.2,4.4,14.7,20.2,97.2,82,36.8,82.1,4.4,12.4,32.5,69.7,16.9,22.7,12.0,29.5,21.2,7.4,4.9,13.3,21.6,94.9,26.7,0.42,2.71,106.7,104.2,90.4,0.321,0.217,0.538,0.492,14.0,27.5,0.244,0.475,12.6,71.9,0.206,Compaq Center,12648,0.0
Indiana Pacers,2001,0.5,82,34.5,78.4,4.8,14.1,29.7,64.3,18.8,24.5,11.2,31.6,21.5,6.9,5.9,15.2,23.5,92.6,82,34.5,81.5,4.6,13.7,29.9,67.8,19.2,25.3,12.7,30.4,20.7,7.2,4.7,13.6,23.0,92.8,27.7,-0.57,-0.77,102.0,102.2,89.4,0.312,0.18,0.519,0.471,14.5,27.0,0.239,0.452,12.8,71.4,0.235,Conseco Fieldhouse,17849,0.0
Los Angeles Clippers,2001,0.378,82,35.3,78.9,4.4,13.0,30.9,65.9,17.4,25.1,11.7,31.2,19.3,6.0,6.3,15.8,21.6,92.5,82,36.5,82.9,4.3,13.1,32.2,69.8,18.0,24.2,12.7,29.7,21.8,7.8,5.0,12.7,21.9,95.3,24.3,0.66,-2.23,101.3,104.5,89.6,0.319,0.164,0.514,0.476,14.9,28.3,0.221,0.466,12.0,71.1,0.217,STAPLES Center,14673,0.0
Los Angeles Lakers,2001,0.683,82,37.9,81.5,5.4,15.5,32.6,66.0,19.4,28.5,13.2,31.5,23.0,6.9,6.0,14.4,22.8,100.6,82,36.4,83.1,5.0,14.2,31.3,68.9,19.5,25.8,12.0,29.4,20.2,7.5,4.0,13.1,24.4,97.2,29.2,0.37,3.74,108.4,104.8,91.7,0.349,0.191,0.535,0.498,13.3,31.1,0.238,0.468,12.2,72.5,0.234,STAPLES Center,18935,1.0
