Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2018,0.293,82,38.2,85.5,11.2,31.0,27.0,54.5,15.8,20.2,9.1,32.8,23.7,7.8,4.2,15.6,19.6,103.4,82,40.7,86.7,11.6,30.7,29.1,56.0,15.9,20.6,10.3,34.0,26.1,8.7,5.5,15.1,20.3,108.8,25.4,0.15,-5.3,105.0,110.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,14409,0.0
Boston Celtics,2018,0.671,82,38.3,85.1,11.5,30.4,26.9,54.7,16.0,20.7,9.4,35.1,22.5,7.4,4.5,14.0,19.7,104.0,82,37.4,85.0,9.4,27.7,28.0,57.4,16.3,21.3,9.6,34.2,21.3,7.2,4.4,14.1,19.2,100.4,24.7,-0.35,3.23,107.6,103.9,96.0,0.243,0.357,0.552,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191,TD Garden,18624,0.25
Brooklyn Nets,2018,0.341,82,38.2,86.8,12.7,35.7,25.5,51.1,17.4,22.6,9.7,34.8,23.7,6.2,4.8,15.2,20.6,106.6,82,41.7,89.4,9.0,24.5,32.6,64.9,17.9,23.4,10.4,36.4,21.7,7.7,5.5,12.4,19.7,110.3,25.1,0.07,-3.67,106.9,110.6,98.9,0.26,0.411,0.551,0.514,13.6,21.0,0.201,0.517,11.0,77.0,0.201,Barclays Center,15376,0.0
Charlotte Hornets,2018,0.439,82,39.0,86.7,10.0,27.2,28.9,59.4,20.2,27.0,10.1,35.4,21.6,6.8,4.5,12.7,17.2,108.2,82,41.1,87.8,11.3,30.1,29.8,57.7,14.5,18.2,8.4,35.3,24.7,6.6,4.9,13.6,22.4,108.0,26.6,-0.19,0.07,109.4,109.1,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,16376,0.0
Chicago Bulls,2018,0.329,82,38.7,88.8,11.0,31.1,27.6,57.8,14.6,19.2,9.6,35.0,23.5,7.6,3.5,14.0,19.2,102.9,82,41.0,86.8,12.1,32.7,28.9,54.1,15.9,20.2,8.4,37.2,25.9,7.2,5.2,13.6,17.4,110.0,24.4,0.2,-6.84,103.8,110.9,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,United Center,20776,0.0
Cleveland Cavaliers,2018,0.61,82,40.4,84.8,12.0,32.1,28.4,52.6,18.1,23.3,8.5,33.7,23.4,7.1,3.8,13.7,18.6,110.9,82,41.8,88.3,11.7,31.7,30.2,56.6,14.6,19.4,9.9,33.7,25.9,7.5,4.1,13.5,20.7,109.9,30.6,-0.35,0.59,112.9,111.9,98.0,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,20562,0.5
Dallas Mavericks,2018,0.293,82,38.1,85.9,11.8,32.8,26.4,53.1,14.2,18.7,8.1,33.1,22.7,7.0,3.8,12.3,19.2,102.3,82,39.3,83.8,10.7,29.4,28.6,54.4,16.2,21.4,8.8,36.9,23.5,7.2,4.5,13.7,19.6,105.4,27.7,0.34,-2.7,106.3,109.5,95.6,0.217,0.382,0.544,0.513,11.6,18.0,0.166,0.532,12.9,78.9,0.193,American Airlines Center,19792,0.0
Denver Nuggets,2018,0.561,82,40.7,86.6,11.5,30.9,29.2,55.7,17.1,22.3,11.0,33.5,25.1,7.6,4.9,15.0,18.7,110.0,82,41.3,86.7,10.9,28.8,30.4,57.9,15.0,20.4,9.8,31.9,24.7,8.0,4.8,13.8,20.7,108.5,25.1,0.09,1.57,112.5,111.0,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,Pepsi Center,17141,0.0
Detroit Pistons,2018,0.476,82,39.1,86.9,10.8,28.9,28.3,58.0,14.7,19.8,10.1,33.6,22.8,7.7,3.9,13.5,18.4,103.8,82,39.1,85.2,11.1,30.8,28.0,54.4,14.6,18.9,9.2,34.5,25.2,7.3,4.9,14.8,18.4,103.9,25.9,-0.11,-0.26,107.2,107.3,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,Little Caesars Arena,17413,0.0
Golden State Warriors,2018,0.707,82,42.8,85.1,11.3,28.9,31.5,56.2,16.6,20.3,8.4,35.1,29.3,8.0,7.5,15.5,19.6,113.5,82,40.2,90.0,10.4,29.2,29.8,60.8,16.7,22.0,10.9,31.6,23.6,8.7,3.7,14.3,18.5,107.5,28.8,-0.19,5.79,113.6,107.6,99.6,0.239,0.339,0.603,0.569,14.1,21.0,0.195,0.504,12.6,76.3,0.186,Oracle Arena,19596,1.0
