Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,1995,0.512,82,36.4,81.5,6.6,19.3,29.8,62.2,17.2,23.8,13.5,27.7,21.4,9.0,5.0,14.9,22.0,96.6,82,36.6,79.1,5.1,14.8,31.5,64.3,17.0,23.4,12.8,29.2,21.1,7.4,3.9,16.6,22.1,95.3,28.2,-0.22,1.06,106.6,105.2,89.8,0.292,0.237,0.525,0.487,13.9,31.6,0.211,0.495,15.6,68.4,0.215,Omni Coliseum,12312,0.0
Boston Celtics,1995,0.427,82,38.8,83.5,4.4,12.0,34.4,71.5,20.8,27.7,14.1,28.3,21.7,7.5,4.4,15.9,24.1,102.8,82,40.3,83.2,4.6,12.8,35.7,70.4,19.5,27.1,13.0,28.5,24.4,8.0,5.5,15.0,23.4,104.7,27.2,-0.04,-1.92,108.6,110.6,94.0,0.331,0.144,0.537,0.491,14.3,33.1,0.249,0.512,13.6,68.6,0.235,Boston Garden,14869,0.0
Charlotte Hornets,1995,0.61,82,37.2,78.5,6.8,17.2,30.4,61.3,19.4,24.9,10.1,29.2,25.3,7.6,4.9,14.9,20.5,100.6,82,37.7,83.0,5.2,15.7,32.4,67.3,16.8,22.7,13.4,28.8,23.1,6.5,4.5,14.8,22.7,97.3,28.0,-0.41,2.87,109.6,106.1,91.2,0.317,0.219,0.562,0.517,14.3,26.0,0.247,0.485,13.8,68.5,0.202,Charlotte Coliseum,23698,0.0
Chicago Bulls,1995,0.573,82,38.9,81.8,5.4,14.5,33.5,67.4,18.3,25.2,13.5,28.0,24.0,9.7,4.3,15.8,23.9,101.5,82,35.6,78.0,4.9,14.0,30.8,64.0,20.5,27.8,13.0,27.5,20.9,8.4,4.5,18.1,23.1,96.7,28.1,-0.51,4.32,109.5,104.3,92.0,0.308,0.177,0.546,0.509,14.5,32.9,0.224,0.488,16.7,68.2,0.263,United Center,22591,0.125
Cleveland Cavaliers,1995,0.524,82,33.6,76.3,4.9,12.6,28.8,63.7,18.4,24.2,12.7,27.3,20.4,7.7,4.3,14.3,20.7,90.5,82,34.2,74.2,4.8,13.5,29.4,60.7,16.6,22.0,10.4,27.4,22.1,6.8,5.3,14.8,21.6,89.8,28.3,-0.07,0.55,105.3,104.6,84.8,0.317,0.165,0.52,0.472,14.2,31.8,0.241,0.493,15.0,72.4,0.224,Gund Arena,20338,0.0
Dallas Mavericks,1995,0.439,82,39.4,89.5,4.7,14.6,34.6,74.9,19.8,27.0,18.5,29.7,23.7,7.1,4.2,16.4,22.1,103.2,82,41.5,85.1,5.3,14.4,36.3,70.7,17.7,24.2,12.8,29.0,24.3,8.8,6.1,15.2,23.5,106.1,24.3,0.51,-2.39,107.6,110.6,94.7,0.301,0.163,0.509,0.466,13.9,38.9,0.221,0.519,13.7,69.8,0.208,Reunion Arena,16547,0.0
Denver Nuggets,1995,0.5,82,37.8,78.8,5.0,14.1,32.7,64.6,20.7,28.1,12.7,29.3,22.4,8.0,7.1,16.8,25.2,101.3,82,37.2,81.6,5.1,14.7,32.1,66.9,21.0,28.0,12.5,26.9,21.8,7.8,5.6,14.2,23.9,100.5,26.6,0.11,0.96,109.1,108.2,91.5,0.357,0.18,0.556,0.511,15.6,32.0,0.263,0.487,13.2,70.2,0.257,McNichols Sports Arena,17171,0.0
Detroit Pistons,1995,0.341,82,37.3,80.9,6.0,17.0,31.3,63.9,17.5,23.7,11.7,26.9,22.8,8.6,5.1,16.1,26.2,98.2,82,38.0,80.0,5.5,15.1,32.6,64.9,23.9,33.2,14.0,29.7,24.5,8.5,5.4,15.7,21.3,105.5,26.9,0.21,-7.08,105.1,112.9,93.2,0.293,0.21,0.538,0.499,15.0,28.3,0.217,0.51,14.2,65.8,0.299,The Palace of Auburn Hills,17539,0.0
Golden State Warriors,1995,0.317,82,39.2,83.8,6.7,19.5,32.6,64.3,20.6,29.2,13.4,28.9,24.6,7.9,4.8,18.3,22.0,105.7,82,43.0,88.2,6.0,16.9,37.0,71.3,19.1,26.5,14.6,30.8,28.6,10.5,5.0,16.2,26.0,111.1,26.0,0.51,-4.9,106.7,112.2,97.9,0.348,0.233,0.547,0.508,15.9,30.3,0.245,0.522,13.9,66.5,0.216,Oakland-Alameda County Coliseum Arena,15025,0.0
Houston Rockets,1995,0.573,82,38.5,80.2,7.9,21.4,30.6,58.8,18.6,24.9,10.7,29.8,25.1,8.8,6.3,16.1,20.9,103.5,82,39.0,86.1,6.2,16.4,32.9,69.7,17.2,22.9,14.2,29.1,23.7,9.1,4.5,15.5,21.7,101.4,28.5,0.2,2.32,109.7,107.4,94.2,0.31,0.267,0.568,0.529,15.0,26.9,0.232,0.489,13.9,67.7,0.199,The Summit,15936,1.0
Indiana Pacers,1995,0.634,82,36.4,76.2,4.6,12.0,31.8,64.2,21.9,29.1,12.8,27.9,22.9,8.6,4.4,16.3,23.6,99.2,82,35.6,78.1,5.8,15.9,29.8,62.2,18.5,25.5,12.8,26.3,22.0,8.4,5.1,16.7,25.1,95.5,28.7,-0.34,3.35,109.6,105.6,90.0,0.383,0.158,0.557,0.507,15.5,32.8,0.287,0.493,15.8,68.6,0.237,Market Square Arena,15962,0.25
