Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2006,0.317,82,35.9,79.2,5.2,14.1,30.8,65.1,20.2,26.9,13.0,27.2,19.8,7.2,4.8,15.7,25.0,97.2,82,37.5,78.5,5.4,14.7,32.1,63.8,21.6,28.9,12.0,28.5,20.6,7.3,5.1,15.0,22.6,102.0,22.7,0.07,-4.69,106.4,111.6,90.4,0.34,0.178,0.534,0.486,14.7,31.4,0.255,0.513,14.1,69.5,0.275,Philips Arena,15069,0.0
Boston Celtics,2006,0.402,82,36.0,77.1,5.7,15.7,30.3,61.4,20.3,26.9,9.9,29.7,20.9,7.0,5.1,16.6,24.8,98.0,82,35.9,78.8,5.4,15.4,30.5,63.4,22.3,30.0,11.1,28.9,21.5,8.4,4.9,14.8,22.4,99.5,25.3,-0.05,-1.59,105.2,106.9,92.2,0.349,0.204,0.551,0.504,15.7,25.5,0.263,0.49,13.8,72.8,0.282,TD Banknorth Garden,16899,0.0
Charlotte Bobcats,2006,0.317,82,36.1,83.5,5.2,15.4,30.9,68.1,19.4,26.7,12.1,27.7,20.9,10.0,4.3,14.2,23.9,96.9,82,37.4,78.2,5.6,15.7,31.8,62.5,20.5,27.8,11.5,32.5,22.9,7.0,5.4,17.9,23.5,100.9,25.2,0.1,-3.9,102.5,106.7,93.4,0.319,0.184,0.509,0.464,13.0,27.1,0.233,0.514,16.5,70.7,0.263,Charlotte Bobcats Arena,16366,0.0
Chicago Bulls,2006,0.5,82,36.6,82.2,6.8,18.0,29.8,64.1,17.7,24.0,11.0,31.7,22.0,6.2,4.2,14.9,24.9,97.8,82,33.8,79.5,6.1,17.4,27.7,62.0,23.4,30.1,10.7,31.0,20.1,7.5,5.1,15.0,23.0,97.2,24.1,-0.12,0.51,104.0,103.4,92.9,0.292,0.219,0.527,0.487,13.9,26.3,0.216,0.464,13.9,74.7,0.295,United Center,21188,0.0
Cleveland Cavaliers,2006,0.61,82,35.5,78.2,6.1,17.9,29.4,60.3,20.6,28.3,11.7,30.6,19.0,6.9,4.8,13.9,21.1,97.6,82,36.0,79.0,5.6,15.7,30.4,63.3,17.8,24.0,9.8,29.5,20.3,6.6,4.4,13.2,22.5,95.4,27.1,-0.06,2.17,107.8,105.4,89.8,0.362,0.228,0.538,0.492,13.3,28.4,0.263,0.49,12.8,75.7,0.226,Gund Arena,19327,0.125
Dallas Mavericks,2006,0.732,82,36.0,77.7,5.1,13.6,30.9,64.2,22.2,28.3,12.6,29.6,18.0,7.2,6.0,13.6,22.4,99.1,82,34.2,77.1,4.9,13.7,29.2,63.4,19.8,26.4,11.4,26.9,17.5,6.5,4.9,14.0,23.9,93.1,27.5,-0.11,5.96,111.8,105.0,87.8,0.364,0.175,0.55,0.495,13.1,31.8,0.285,0.475,13.7,72.2,0.257,American Airlines Center,20114,0.5
Denver Nuggets,2006,0.537,82,37.5,81.4,4.3,13.1,33.3,68.2,21.0,28.2,11.0,30.3,23.4,8.5,5.6,14.8,22.7,100.3,82,37.4,82.5,6.5,18.0,31.0,64.4,18.8,25.5,11.8,30.1,23.9,7.1,5.3,16.1,23.3,100.1,27.4,0.13,0.36,105.5,105.2,93.9,0.347,0.161,0.535,0.488,13.7,26.8,0.258,0.493,14.7,72.0,0.227,Pepsi Center,17135,0.0
Detroit Pistons,2006,0.78,82,36.4,80.0,6.8,17.7,29.6,62.3,17.3,23.8,11.9,28.6,24.0,7.1,6.0,11.4,18.5,96.8,82,35.5,78.7,4.0,12.3,31.5,66.3,15.1,20.5,11.6,29.3,18.8,5.9,3.5,14.0,21.0,90.2,28.5,-0.44,6.24,110.8,103.1,86.8,0.297,0.221,0.535,0.497,11.2,28.9,0.216,0.477,13.7,71.2,0.191,The Palace of Auburn Hills,22076,0.25
Golden State Warriors,2006,0.415,82,35.8,82.7,7.6,22.3,28.2,60.4,19.2,26.7,12.0,30.3,20.7,7.4,4.4,14.1,23.7,98.5,82,37.2,81.4,5.7,16.3,31.4,65.1,19.8,26.7,12.0,32.5,22.3,7.0,5.0,15.3,23.4,99.8,25.6,0.25,-1.11,104.8,106.2,93.3,0.323,0.27,0.521,0.479,13.0,26.9,0.232,0.492,14.1,71.6,0.243,Oakland Arena,18273,0.0
Houston Rockets,2006,0.415,82,33.0,76.2,5.7,17.2,27.3,59.0,18.3,24.1,10.4,31.3,19.3,7.2,3.9,14.5,22.7,90.1,82,33.0,77.0,6.6,17.9,26.4,59.1,19.0,26.0,10.7,30.2,20.1,7.1,4.5,13.3,20.9,91.7,28.8,0.28,-1.3,101.6,103.3,88.0,0.317,0.226,0.519,0.471,14.3,25.5,0.24,0.472,13.1,74.6,0.247,Toyota Center,15515,0.0
