Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2007,0.366,82,34.5,77.7,4.2,12.7,30.4,65.0,20.5,26.9,11.9,28.2,19.2,7.4,5.4,15.9,24.0,93.7,82,36.0,77.3,5.7,15.1,30.3,62.2,20.7,28.2,11.6,28.9,21.1,7.3,5.1,15.2,22.6,98.4,24.1,-0.1,-4.86,103.0,108.3,90.0,0.346,0.163,0.523,0.471,15.1,29.2,0.263,0.503,14.5,70.9,0.268,Philips Arena,15595,0.0
Boston Celtics,2007,0.293,82,34.9,78.7,5.7,15.6,29.1,63.1,20.4,26.6,11.2,29.2,19.9,7.2,4.7,16.5,24.0,95.8,82,36.2,77.3,5.2,14.8,30.9,62.5,21.7,29.0,10.3,30.2,22.1,7.4,5.5,15.2,21.4,99.2,23.5,-0.29,-3.7,103.2,106.9,92.0,0.337,0.199,0.53,0.479,15.4,27.0,0.259,0.502,14.5,73.8,0.28,TD Banknorth Garden,16843,0.0
Charlotte Bobcats,2007,0.402,82,36.1,81.0,5.6,15.6,30.5,65.4,19.1,26.0,11.2,28.6,22.4,7.8,4.5,14.9,24.2,96.9,82,36.6,78.7,5.5,15.2,31.1,63.5,22.0,29.3,11.3,31.2,20.9,7.4,5.3,15.8,21.8,100.6,25.5,-0.22,-3.97,103.6,107.6,92.0,0.322,0.193,0.524,0.48,13.9,26.4,0.236,0.5,14.7,71.6,0.279,Charlotte Bobcats Arena,15549,0.0
Chicago Bulls,2007,0.598,82,37.1,81.3,5.9,15.1,31.3,66.2,18.6,25.4,12.0,31.7,22.3,7.8,5.4,16.0,23.3,98.8,82,34.1,78.2,5.9,16.9,28.2,61.3,19.7,27.1,10.9,30.0,20.4,7.5,5.3,17.4,23.2,93.8,26.0,-0.49,4.52,104.9,99.6,93.6,0.313,0.186,0.534,0.493,14.7,28.6,0.229,0.473,16.2,74.3,0.252,United Center,22253,0.125
Cleveland Cavaliers,2007,0.61,82,36.3,81.2,6.0,17.1,30.3,64.1,18.1,26.0,12.7,30.8,20.8,7.6,4.3,14.4,21.7,96.8,82,34.6,77.3,4.9,15.0,29.7,62.3,18.8,25.6,9.8,30.0,20.1,6.6,4.3,15.3,22.0,92.9,26.9,-0.5,3.33,105.5,101.3,90.8,0.32,0.211,0.522,0.484,13.4,29.7,0.223,0.48,14.7,75.8,0.243,Quicken Loans Arena,20436,0.5
Dallas Mavericks,2007,0.817,82,36.7,78.6,6.5,17.1,30.2,61.4,20.1,24.9,11.2,30.7,19.9,6.8,5.0,13.9,22.4,100.0,82,34.0,76.1,4.6,13.1,29.5,63.0,20.2,27.0,10.2,27.9,17.9,6.9,3.8,14.5,22.1,92.8,28.1,0.06,7.28,111.3,103.2,89.5,0.317,0.218,0.559,0.509,13.4,28.7,0.256,0.477,14.2,75.0,0.265,American Airlines Center,20351,0.0
Denver Nuggets,2007,0.549,82,38.6,83.0,5.9,17.6,32.7,65.4,22.3,29.9,12.2,31.2,23.4,8.3,5.3,16.5,21.4,105.4,82,39.7,86.4,6.8,19.1,33.0,67.3,17.5,23.7,12.3,30.0,24.5,8.3,5.2,16.4,23.7,103.7,26.5,0.07,1.69,107.6,105.9,97.4,0.36,0.212,0.548,0.501,14.6,28.9,0.268,0.499,14.5,71.8,0.203,Pepsi Center,17230,0.0
Detroit Pistons,2007,0.646,82,35.9,79.1,5.5,15.9,30.4,63.2,18.8,24.2,11.6,29.0,21.6,7.1,5.8,12.2,20.4,96.0,82,34.4,77.3,5.0,14.7,29.4,62.6,18.1,24.5,11.9,29.3,20.1,6.4,3.5,14.7,20.3,91.8,29.0,-0.47,3.69,108.9,104.2,87.3,0.307,0.201,0.535,0.488,12.0,28.3,0.237,0.477,14.3,70.9,0.234,The Palace of Auburn Hills,22076,0.25
Golden State Warriors,2007,0.512,82,39.8,86.0,8.5,24.0,31.2,62.0,18.5,25.8,11.5,30.0,23.8,9.1,5.7,16.0,23.6,106.5,82,38.7,83.8,7.4,20.3,31.2,63.5,22.1,29.5,13.1,33.3,24.7,8.3,4.9,18.6,22.3,106.9,24.6,0.34,0.0,107.0,107.4,99.2,0.3,0.279,0.548,0.512,14.1,25.6,0.215,0.506,16.1,69.6,0.264,Oracle Arena,18104,0.125
Houston Rockets,2007,0.634,82,35.4,79.6,8.6,23.1,26.8,56.5,17.5,23.2,10.7,32.6,20.8,7.1,4.1,14.2,20.9,97.0,82,34.1,79.3,5.8,16.4,28.3,62.9,18.3,24.4,9.8,31.1,19.4,7.0,4.3,14.2,19.9,92.1,28.2,0.19,5.04,106.0,100.7,90.7,0.292,0.29,0.54,0.499,13.6,25.7,0.22,0.466,13.6,77.0,0.23,Toyota Center,16545,0.0
Indiana Pacers,2007,0.427,82,35.0,80.0,5.9,16.9,29.2,63.1,19.7,25.9,12.1,29.8,20.5,7.3,5.5,16.3,23.3,95.6,82,35.7,78.2,5.3,14.3,30.4,63.9,21.2,28.2,11.2,30.5,20.0,7.9,5.0,15.7,23.7,98.0,27.2,-0.18,-2.62,102.9,105.5,92.4,0.324,0.212,0.523,0.474,15.1,28.4,0.246,0.491,14.8,72.7,0.271,Conseco Fieldhouse,15360,0.0
Los Angeles Clippers,2007,0.488,82,35.1,77.0,3.8,11.0,31.3,66.0,21.6,27.4,10.8,30.3,21.5,7.3,5.8,15.1,22.7,95.6,82,35.5,78.5,5.5,16.4,30.0,62.1,19.5,26.1,10.3,29.0,21.0,7.1,3.9,13.8,22.3,96.1,27.5,0.39,-0.07,105.1,105.6,90.8,0.355,0.143,0.537,0.481,14.5,27.2,0.28,0.488,13.3,74.7,0.249,STAPLES Center,18421,0.0
Los Angeles Lakers,2007,0.512,82,37.8,81.3,7.4,21.0,30.4,60.2,20.2,27.1,10.8,30.4,22.6,7.3,5.1,15.5,23.0,103.3,82,37.8,81.9,6.4,17.8,31.4,64.1,21.5,28.3,11.6,30.6,21.9,7.9,5.0,14.7,23.4,103.4,25.3,0.32,0.24,108.6,108.6,93.5,0.333,0.259,0.554,0.511,14.3,26.1,0.249,0.5,13.5,72.3,0.262,STAPLES Center,18986,0.0
Memphis Grizzlies,2007,0.268,82,36.6,78.6,6.1,16.6,30.5,62.0,22.4,29.4,10.6,29.0,20.5,6.9,5.0,16.4,22.3,101.6,82,40.1,82.5,7.0,18.0,33.1,64.4,19.5,25.8,11.8,30.3,25.1,8.3,5.5,15.3,24.3,106.7,26.2,0.71,-4.44,106.9,112.3,93.6,0.374,0.211,0.555,0.504,15.2,25.9,0.285,0.529,14.0,71.1,0.237,FedEx Forum,14655,0.0
Miami Heat,2007,0.537,82,35.6,76.7,6.4,18.8,29.2,57.9,17.0,24.6,10.0,30.8,20.5,6.9,5.4,14.6,21.3,94.6,82,35.3,79.5,6.5,18.2,28.8,61.2,18.5,24.9,11.2,30.1,20.2,6.9,3.8,14.5,21.8,95.5,29.3,-0.29,-1.21,104.3,105.3,89.9,0.321,0.245,0.541,0.506,14.3,24.9,0.222,0.485,13.8,73.3,0.232,AmericanAirlines Arena,19721,0.0
Milwaukee Bucks,2007,0.341,82,38.1,81.9,6.4,18.0,31.7,63.9,17.1,23.4,11.5,27.7,21.6,7.2,2.7,15.1,22.2,99.7,82,39.0,81.4,6.9,18.7,32.1,62.6,19.1,25.7,13.0,30.1,25.3,7.5,5.3,15.7,21.0,104.0,26.0,-0.06,-4.43,107.0,111.7,92.3,0.286,0.219,0.541,0.504,14.1,27.6,0.209,0.522,14.5,68.1,0.234,Bradley Center,16186,0.0
