Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2014,0.463,82,37.3,81.6,9.4,25.8,28.0,55.8,17.0,21.7,8.7,31.3,24.9,8.3,4.0,15.3,19.2,101.0,82,38.6,83.5,8.0,21.9,30.6,61.6,16.4,21.9,10.8,32.8,23.2,8.2,4.3,15.2,20.0,101.5,27.5,-0.4,-0.88,105.9,106.4,94.6,0.266,0.316,0.554,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196,Philips Arena,14231,0.0
Boston Celtics,2014,0.305,82,36.5,83.9,7.0,21.1,29.5,62.9,16.2,20.8,12.0,30.5,21.0,7.1,4.2,15.4,21.3,96.2,82,37.8,81.4,6.6,18.9,31.2,62.5,18.5,24.3,10.6,31.7,22.1,7.4,4.5,14.2,19.1,100.7,25.4,-0.51,-4.97,102.9,107.7,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,TD Garden,18107,0.0
Brooklyn Nets,2014,0.537,82,35.7,77.9,8.6,23.4,27.1,54.5,18.4,24.4,8.8,29.4,20.9,8.6,3.8,14.5,21.7,98.5,82,36.3,79.4,8.1,22.0,28.3,57.4,18.8,24.7,11.2,31.6,21.0,7.4,4.1,15.8,20.8,99.5,30.0,-0.58,-1.58,106.7,107.7,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,Barclays Center,17252,0.125
Charlotte Bobcats,2014,0.524,82,36.3,82.1,6.3,17.9,30.0,64.1,18.0,24.4,9.5,33.2,21.7,6.1,5.1,12.3,18.2,96.9,82,36.9,83.4,8.1,22.0,28.7,61.4,15.3,20.1,9.6,33.7,21.0,6.3,5.1,13.3,20.9,97.1,25.5,-0.67,-0.89,103.6,103.8,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,Time Warner Cable Arena,15519,0.0
Chicago Bulls,2014,0.585,82,34.7,80.2,6.2,17.8,28.5,62.4,18.1,23.3,11.4,32.7,22.7,7.2,5.2,14.9,19.1,93.7,82,35.0,81.2,6.6,18.7,28.4,62.5,15.3,20.3,10.7,30.6,19.6,7.6,6.0,14.4,20.9,91.8,28.6,-0.66,1.2,102.5,100.5,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,United Center,21716,0.0
Cleveland Cavaliers,2014,0.402,82,37.0,84.8,7.1,20.0,29.9,64.8,17.0,22.7,12.1,32.1,21.2,7.1,3.7,14.2,20.0,98.2,82,37.8,83.5,9.3,25.4,28.4,58.1,16.6,22.0,10.3,32.3,24.8,7.2,5.6,14.0,19.5,101.5,24.9,-0.57,-3.86,104.2,107.7,93.1,0.268,0.236,0.518,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199,Quicken Loans Arena,17330,0.0
Dallas Mavericks,2014,0.598,82,39.6,83.6,8.8,22.9,30.8,60.7,16.8,21.1,10.2,30.7,23.6,8.6,4.3,13.5,20.0,104.8,82,37.8,81.4,8.3,23.0,29.5,58.4,18.7,24.6,11.5,31.3,22.0,7.7,3.5,16.0,19.9,102.4,30.6,0.5,2.91,111.2,108.7,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,American Airlines Center,19951,0.0
Denver Nuggets,2014,0.439,82,38.4,85.9,8.6,23.9,29.8,62.0,19.1,26.3,12.3,33.1,22.4,7.5,5.6,15.9,23.0,104.4,82,39.5,86.4,7.4,21.0,32.1,65.4,20.2,26.4,11.3,32.5,22.5,8.5,5.6,14.4,21.7,106.5,26.0,0.75,-1.4,106.0,108.2,98.1,0.306,0.278,0.536,0.497,14.0,27.5,0.222,0.5,12.8,74.5,0.233,Pepsi Center,16900,0.0
Detroit Pistons,2014,0.354,82,38.8,86.9,6.2,19.3,32.6,67.6,17.3,25.7,14.6,30.8,20.9,8.4,4.8,14.5,20.3,101.0,82,39.1,83.2,8.3,22.8,30.8,60.3,18.1,24.0,11.1,31.9,24.4,8.2,4.9,15.0,20.7,104.7,24.7,-0.48,-4.13,105.9,109.7,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,The Palace of Auburn Hills,15025,0.0
Golden State Warriors,2014,0.622,82,39.5,85.4,9.4,24.8,30.0,60.6,15.9,21.1,10.9,34.4,23.3,7.8,5.0,15.2,21.8,104.3,82,36.8,84.4,6.9,20.2,29.9,64.2,18.9,24.7,10.7,32.6,20.5,7.9,4.2,15.0,19.3,99.5,26.3,0.34,5.15,107.5,102.6,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,Oracle Arena,19596,0.0
Houston Rockets,2014,0.659,82,38.0,80.5,9.5,26.6,28.5,54.0,22.1,31.1,11.2,34.1,21.4,7.6,5.6,16.1,20.4,107.7,82,39.0,88.0,8.1,23.0,30.9,65.0,17.0,22.5,11.9,29.7,22.2,8.6,5.6,14.0,24.3,103.1,25.4,0.5,5.06,111.0,106.3,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,Toyota Center,18124,0.0
Indiana Pacers,2014,0.683,82,36.0,80.2,6.7,18.8,29.3,61.4,18.1,23.3,10.2,34.5,20.1,6.7,5.4,15.1,20.4,96.7,82,34.8,82.7,6.6,19.0,28.2,63.7,16.3,21.6,10.4,30.7,18.6,7.2,4.6,13.7,21.9,92.3,27.2,-0.77,3.63,104.1,99.3,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.197,Bankers Life Fieldhouse,17501,0.25
Los Angeles Clippers,2014,0.695,82,39.1,82.5,8.5,24.0,30.7,58.5,21.2,29.1,10.5,32.5,24.6,8.6,4.8,13.9,21.5,107.9,82,37.4,84.9,7.3,21.8,30.2,63.0,18.9,25.0,12.3,31.4,23.3,7.0,3.5,15.4,23.4,101.0,28.1,0.3,7.27,112.1,104.8,95.9,0.353,0.291,0.567,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,STAPLES Center,19212,0.125
Los Angeles Lakers,2014,0.329,82,38.3,85.1,9.4,24.8,28.8,60.3,17.0,22.4,9.1,32.0,24.5,7.5,5.4,15.1,19.8,103.0,82,42.0,89.6,8.1,22.5,33.8,67.2,17.2,23.7,13.0,36.0,25.8,9.6,4.7,14.2,19.3,109.2,26.8,0.96,-5.33,104.2,110.6,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71.0,0.192,STAPLES Center,18829,0.0
Memphis Grizzlies,2014,0.61,82,38.1,82.0,4.9,14.0,33.1,68.0,15.1,20.3,11.6,30.8,21.9,7.7,4.6,13.7,19.1,96.1,82,35.7,79.3,7.5,21.1,28.2,58.2,15.8,20.6,9.9,29.3,19.9,7.2,5.0,14.2,18.9,94.6,28.5,0.61,2.18,106.3,104.6,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,FedEx Forum,16718,0.0
Miami Heat,2014,0.659,82,38.3,76.5,8.1,22.3,30.2,54.2,17.5,23.0,7.6,29.2,22.5,8.9,4.5,14.8,19.5,102.2,82,36.1,79.0,8.5,23.4,27.6,55.6,16.8,22.3,10.8,29.5,21.4,8.1,3.1,16.7,20.4,97.4,30.6,-0.61,4.15,110.9,105.8,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73.0,0.212,AmericanAirlines Arena,19781,0.5
Milwaukee Bucks,2014,0.183,82,36.0,82.2,6.7,18.9,29.3,63.2,16.8,22.5,11.8,29.3,21.5,6.6,4.9,15.1,20.9,95.5,82,38.4,82.0,8.5,22.3,29.9,59.7,18.4,24.5,11.7,31.8,22.8,7.8,5.0,14.1,20.6,103.7,24.7,-0.23,-8.41,103.0,111.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,BMO Harris Bradley Center,13465,0.0
