Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2019,0.354,82,41.4,91.8,13.0,37.0,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17.0,23.6,113.3,82,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15.0,22.2,119.4,25.1,-0.04,-6.06,108.1,113.9,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,State Farm Arena,15328,0.0
Boston Celtics,2019,0.598,82,42.1,90.5,12.6,34.5,29.5,56.0,15.6,19.5,9.8,34.7,26.3,8.6,5.3,12.8,20.4,112.4,82,39.5,88.1,11.5,33.5,28.0,54.6,17.4,22.8,10.4,35.5,23.7,6.8,3.9,15.1,19.5,108.0,25.7,-0.54,3.9,112.2,107.8,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,0.514,13.4,77.0,0.198,TD Garden,18624,0.125
Brooklyn Nets,2019,0.512,82,40.3,89.7,12.8,36.2,27.5,53.6,19.0,25.5,11.0,35.6,23.8,6.6,4.1,15.1,21.5,112.2,82,42.2,92.5,10.3,30.3,31.9,62.1,17.6,22.8,11.0,35.2,23.7,7.8,5.3,13.5,22.0,112.3,25.4,-0.33,-0.4,109.6,109.7,100.8,0.284,0.403,0.556,0.52,13.0,23.8,0.211,0.512,11.6,76.4,0.19,Barclays Center,14941,0.0
Charlotte Hornets,2019,0.476,82,40.2,89.8,11.9,33.9,28.3,55.8,18.4,23.1,9.9,33.9,23.2,7.2,4.9,12.2,18.9,110.7,82,41.9,89.2,12.1,33.5,29.8,55.6,15.9,20.2,10.1,35.7,26.0,6.9,6.0,13.5,20.6,111.8,26.6,-0.22,-1.32,111.4,112.5,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,Spectrum Center,16502,0.0
Chicago Bulls,2019,0.268,82,39.8,87.9,9.1,25.9,30.7,62.0,16.2,20.7,8.8,34.1,21.9,7.4,4.3,14.1,20.3,104.9,82,42.2,89.2,12.1,33.0,30.2,56.2,16.8,22.0,10.0,36.4,25.5,7.3,5.8,13.3,18.7,113.4,24.0,0.1,-8.32,104.8,113.2,99.0,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,United Center,20085,0.0
Cleveland Cavaliers,2019,0.232,82,38.9,87.6,10.3,29.1,28.6,58.5,16.4,20.7,10.7,31.9,20.7,6.5,2.4,13.5,20.0,104.5,82,43.2,87.2,12.0,31.6,31.2,55.6,15.8,20.5,9.5,34.6,25.7,6.9,5.6,12.5,19.4,114.1,25.2,0.22,-9.39,107.7,117.6,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,0.564,11.5,77.0,0.181,Quicken Loans Arena,19350,0.0
Dallas Mavericks,2019,0.402,82,38.8,86.9,12.5,36.6,26.3,50.2,18.8,25.3,10.1,35.2,23.4,6.5,4.3,14.2,20.1,108.9,82,40.9,89.2,11.2,32.5,29.7,56.7,17.1,22.0,10.2,34.6,24.5,7.8,4.5,13.0,23.2,110.1,26.9,0.42,-0.87,109.4,110.7,99.0,0.291,0.422,0.555,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,American Airlines Center,20014,0.0
Denver Nuggets,2019,0.659,82,41.9,90.0,11.0,31.4,30.9,58.7,15.8,20.9,11.9,34.5,27.4,7.7,4.4,13.4,20.0,110.7,82,39.6,86.4,10.8,31.9,28.8,54.5,16.7,22.2,9.7,32.7,24.6,7.4,5.0,13.5,20.4,106.7,24.9,0.24,4.19,113.0,108.9,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,0.521,12.3,78.0,0.194,Pepsi Center,18450,0.125
Detroit Pistons,2019,0.5,82,38.8,88.3,12.1,34.8,26.7,53.5,17.3,23.1,11.4,33.6,22.5,6.9,4.0,13.8,22.1,107.0,82,39.9,85.0,9.6,27.8,30.3,57.2,17.9,23.7,9.1,34.6,23.7,6.9,5.1,14.1,21.3,107.3,26.9,-0.31,-0.56,109.0,109.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,Little Caesars Arena,16487,0.0
Golden State Warriors,2019,0.695,82,44.0,89.8,13.3,34.4,30.8,55.3,16.3,20.4,9.7,36.5,29.4,7.6,6.4,14.3,21.4,117.7,82,40.4,91.1,11.6,33.6,28.8,57.5,18.7,24.2,10.8,33.5,24.3,7.7,3.6,13.5,19.5,111.2,28.4,-0.04,6.42,115.9,109.5,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,Oracle Arena,19596,0.5
