Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,1996,0.561,82,36.4,81.3,6.9,19.5,29.5,61.8,18.6,24.5,14.4,26.2,19.6,9.4,3.9,15.0,20.9,98.3,82,37.1,78.3,5.8,16.2,31.3,62.1,17.0,22.7,12.9,28.0,22.5,7.1,4.1,17.1,22.0,97.1,28.1,0.07,1.29,109.4,108.0,89.6,0.302,0.239,0.534,0.49,14.0,34.0,0.229,0.512,16.3,67.1,0.217,Omni Coliseum,12114,0.125
Boston Celtics,1996,0.402,82,38.6,84.7,6.6,17.7,32.0,66.9,19.9,27.9,12.8,29.6,21.9,8.0,5.0,15.9,24.9,103.6,82,40.2,83.6,5.1,14.2,35.1,69.4,21.5,28.9,12.7,31.6,23.4,8.1,6.0,16.0,24.0,107.0,26.3,0.03,-3.37,106.4,109.9,96.2,0.329,0.209,0.534,0.494,14.1,28.8,0.235,0.511,14.3,70.0,0.258,FleetCenter,17825,0.0
Charlotte Hornets,1996,0.5,82,37.9,80.7,7.1,18.5,30.8,62.2,19.9,25.8,12.0,27.5,23.3,7.1,3.4,15.1,22.1,102.8,82,39.7,81.1,6.5,16.3,33.2,64.8,17.6,23.9,11.6,28.8,25.0,6.5,4.5,14.8,22.3,103.4,27.8,0.09,-0.48,111.2,111.8,91.6,0.32,0.23,0.558,0.514,14.1,29.5,0.246,0.529,13.9,70.3,0.217,Charlotte Coliseum,24042,0.0
Chicago Bulls,1996,0.878,82,40.2,84.0,6.6,16.5,33.5,67.6,18.2,24.4,15.2,29.4,24.8,9.1,4.2,14.3,22.0,105.2,82,35.1,78.4,5.3,15.2,29.8,63.2,17.4,24.2,12.0,26.0,19.4,7.3,3.8,17.1,22.6,92.9,29.9,-0.44,11.8,115.2,101.8,91.1,0.291,0.196,0.555,0.517,13.1,36.9,0.217,0.482,16.1,71.1,0.222,United Center,23638,1.0
Cleveland Cavaliers,1996,0.573,82,33.7,73.1,7.3,19.3,26.4,53.9,16.5,21.6,10.6,25.1,22.2,8.2,4.1,13.1,20.5,91.1,82,32.6,70.6,6.3,16.1,26.4,54.5,17.1,22.5,10.7,26.4,22.2,6.1,4.1,15.6,20.3,88.5,27.5,-0.09,2.49,109.9,106.7,82.3,0.296,0.264,0.551,0.51,13.7,28.6,0.226,0.506,16.3,70.2,0.242,Gund Arena,17807,0.0
Dallas Mavericks,1996,0.317,82,38.1,90.6,9.0,24.9,29.1,65.8,17.4,24.1,17.2,29.0,23.3,7.8,4.2,15.5,22.4,102.5,82,41.5,84.4,5.7,14.5,35.8,69.9,18.7,25.6,13.3,33.2,24.1,8.6,6.5,16.4,22.5,107.5,25.1,0.19,-4.71,106.1,111.2,95.4,0.266,0.274,0.507,0.47,13.3,34.1,0.192,0.526,14.7,68.6,0.222,Reunion Arena,16686,0.0
Denver Nuggets,1996,0.427,82,36.6,81.2,4.8,14.0,31.8,67.2,19.7,26.5,12.9,30.3,22.6,6.4,7.3,15.4,23.0,97.7,82,37.7,82.2,5.5,15.1,32.2,67.1,19.5,25.7,11.4,29.1,22.9,7.5,5.1,13.8,23.2,100.4,26.8,0.09,-2.62,105.2,108.1,92.2,0.326,0.172,0.526,0.481,14.2,30.7,0.242,0.492,12.8,72.7,0.237,McNichols Sports Arena,16474,0.0
Detroit Pistons,1996,0.561,82,34.3,74.7,6.6,16.5,27.6,58.2,20.2,26.9,10.8,29.8,19.6,6.2,4.3,14.8,23.8,95.4,82,34.5,77.7,6.2,16.8,28.3,60.9,17.8,24.9,11.8,27.7,21.1,6.8,4.7,14.1,23.0,92.9,26.8,-0.05,2.45,107.9,105.1,87.7,0.36,0.221,0.551,0.504,14.6,28.0,0.271,0.483,13.7,71.7,0.229,The Palace of Auburn Hills,17819,0.0
Golden State Warriors,1996,0.439,82,37.3,81.7,5.5,14.6,31.8,67.1,21.6,28.5,14.3,27.9,23.0,8.6,5.7,16.4,22.4,101.6,82,39.1,82.4,5.8,16.0,33.3,66.4,19.1,25.6,13.6,28.0,25.6,8.5,4.7,16.8,23.9,103.1,27.0,0.03,-1.42,108.4,109.9,93.4,0.349,0.179,0.539,0.489,14.8,33.9,0.265,0.51,15.2,67.2,0.232,Oakland-Alameda County Coliseum Arena,15025,0.0
Houston Rockets,1996,0.585,82,37.5,81.0,7.8,21.5,29.8,59.5,19.6,25.7,11.2,29.9,24.2,7.9,5.8,15.2,21.4,102.5,82,38.8,84.3,5.9,16.4,32.9,67.9,17.4,24.5,13.7,30.5,23.7,8.2,4.9,14.9,22.5,100.7,29.0,-0.12,1.63,109.3,107.4,93.2,0.317,0.265,0.555,0.512,14.1,26.9,0.243,0.495,13.6,68.6,0.206,The Summit,16293,0.125
