Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Indiana Pacers,1996,0.634,82,36.3,75.7,4.4,11.9,31.9,63.8,22.2,29.5,12.3,27.6,23.4,7.1,3.9,16.3,24.8,99.3,82,34.6,76.7,6.0,16.7,28.6,60.0,20.8,28.1,12.2,25.0,21.0,8.1,5.1,15.4,24.9,96.1,29.4,-0.14,3.11,110.8,107.2,89.3,0.389,0.157,0.56,0.509,15.5,33.0,0.294,0.491,14.7,69.3,0.271,Market Square Arena,16438,0.0
Los Angeles Clippers,1996,0.354,82,38.1,80.7,6.2,16.8,31.9,64.0,17.0,24.2,11.9,26.7,20.4,8.6,5.0,16.5,24.5,99.4,82,37.7,78.9,5.4,14.6,32.3,64.3,22.2,29.8,12.6,28.8,20.2,8.4,4.9,16.5,22.7,103.0,25.2,0.13,-3.46,106.5,110.3,93.2,0.3,0.208,0.544,0.511,15.3,29.3,0.21,0.512,15.2,67.9,0.282,Los Angeles Memorial Sports Arena,9074,0.0
Los Angeles Lakers,1996,0.646,82,39.2,81.8,5.8,16.6,33.4,65.2,18.6,25.0,12.1,28.1,25.4,8.8,6.3,14.2,20.8,102.9,82,38.0,83.0,5.4,14.7,32.6,68.3,17.0,23.1,14.0,28.2,24.5,7.2,5.9,16.3,22.0,98.5,27.1,-0.24,4.21,111.4,106.6,92.4,0.306,0.203,0.555,0.515,13.3,30.1,0.228,0.491,14.9,66.8,0.205,Great Western Forum,15845,0.0
Miami Heat,1996,0.512,82,35.4,77.4,6.7,17.8,28.7,59.6,18.9,26.7,12.2,30.4,21.4,7.0,5.4,17.0,26.3,96.5,82,33.3,76.9,5.4,15.1,27.9,61.8,22.9,30.5,12.0,28.2,20.1,8.1,4.9,15.7,24.8,95.0,27.4,0.03,1.46,105.3,103.8,91.1,0.345,0.23,0.541,0.501,16.0,30.1,0.245,0.469,14.8,71.8,0.298,Miami Arena,14783,0.0
Milwaukee Bucks,1996,0.305,82,37.0,79.1,4.4,12.9,32.6,66.3,17.2,23.3,11.9,26.4,21.4,7.1,3.7,15.8,23.7,95.6,82,37.6,78.3,6.3,15.8,31.3,62.5,19.4,26.7,12.2,28.1,23.7,7.9,4.5,14.8,21.4,100.9,27.5,0.38,-4.92,105.6,111.5,90.2,0.295,0.163,0.534,0.495,15.0,29.7,0.218,0.52,14.1,68.4,0.248,Bradley Center,15783,0.0
Minnesota Timberwolves,1996,0.317,82,36.3,79.0,3.4,10.5,32.9,68.6,21.9,28.2,12.0,27.7,22.8,7.9,5.9,17.4,24.3,97.9,82,37.6,80.3,6.5,17.0,31.2,63.3,21.5,28.9,12.6,28.3,24.0,8.8,6.1,16.4,23.7,103.2,26.4,0.22,-5.14,104.1,109.8,93.5,0.357,0.132,0.535,0.48,16.0,29.8,0.277,0.509,15.0,68.7,0.267,Target Center,14285,0.0
New Jersey Nets,1996,0.366,82,35.1,82.3,3.0,9.1,32.1,73.2,20.4,27.4,16.5,30.5,21.4,7.6,7.0,16.8,22.9,93.7,82,36.7,80.8,6.6,17.3,30.0,63.5,18.0,24.3,12.5,28.7,22.9,8.1,6.3,15.5,23.5,97.9,27.4,0.09,-4.14,101.9,106.5,90.9,0.332,0.111,0.497,0.445,15.1,36.4,0.248,0.495,14.5,70.9,0.223,Brendan Byrne Arena,15564,0.0
New York Knicks,1996,0.573,82,36.6,77.8,5.9,15.7,30.7,62.2,18.0,23.8,10.1,29.9,22.2,7.9,4.6,15.5,22.7,97.2,82,34.9,78.9,5.4,16.0,29.5,62.9,19.8,26.7,12.1,29.6,20.4,8.0,3.4,15.8,21.5,94.9,30.4,-0.08,2.24,106.0,103.5,91.0,0.306,0.201,0.55,0.509,14.9,25.5,0.232,0.476,14.8,71.1,0.251,Madison Square Garden (IV),19763,0.125
Orlando Magic,1996,0.732,82,39.1,81.0,7.6,20.1,31.5,60.9,18.8,27.2,11.8,29.3,25.4,8.1,5.0,14.1,20.8,104.5,82,37.3,82.1,6.0,16.5,31.3,65.6,18.3,24.8,13.3,28.8,22.8,7.9,4.0,15.1,22.3,99.0,27.7,-0.16,5.4,112.9,106.9,91.8,0.336,0.248,0.562,0.529,13.2,29.0,0.232,0.491,14.0,68.8,0.223,Orlando Arena,17248,0.25
Philadelphia 76ers,1996,0.22,82,34.1,78.3,6.0,17.5,28.1,60.7,20.3,27.6,12.6,26.4,19.9,7.8,5.1,17.2,21.7,94.5,82,40.0,82.9,6.4,17.3,33.6,65.5,18.0,24.2,14.2,30.2,25.7,8.8,5.7,15.7,23.3,104.5,26.1,0.55,-9.45,102.2,113.0,92.2,0.353,0.224,0.522,0.474,16.0,29.4,0.259,0.522,14.4,65.0,0.217,CoreStates Spectrum,11935,0.0
Phoenix Suns,1996,0.5,82,38.5,81.4,4.0,12.0,34.5,69.4,23.3,30.1,12.3,30.5,24.4,7.6,4.0,14.7,21.7,104.3,82,39.2,83.4,6.7,18.2,32.5,65.2,18.8,25.4,12.2,29.0,25.5,7.1,5.1,14.5,24.5,104.0,27.9,-0.05,0.28,110.3,110.0,93.2,0.37,0.147,0.551,0.498,13.5,29.8,0.286,0.511,13.3,71.4,0.225,America West Arena,19023,0.0
Portland Trail Blazers,1996,0.537,82,37.4,81.6,5.9,16.6,31.5,65.0,18.7,28.3,14.1,31.4,21.5,7.2,5.1,16.8,22.7,99.3,82,36.0,81.4,5.8,16.5,30.3,64.9,19.2,25.9,11.4,28.2,22.2,8.6,5.0,14.5,24.3,97.0,28.1,-0.14,2.21,106.0,103.5,92.6,0.347,0.203,0.528,0.494,15.2,33.4,0.23,0.478,13.5,73.4,0.236,Rose Garden Arena,20684,0.0
Sacramento Kings,1996,0.476,82,36.2,79.2,5.6,14.6,30.6,64.6,21.5,29.4,13.6,28.6,22.3,7.8,5.3,17.6,26.0,99.5,82,36.4,78.8,5.6,14.8,30.8,64.0,23.8,31.7,12.9,28.2,22.0,9.4,6.2,16.5,24.5,102.3,26.6,0.09,-2.62,106.2,109.1,93.4,0.371,0.184,0.54,0.493,16.0,32.5,0.271,0.498,15.1,69.0,0.302,ARCO Arena (II),17317,0.0
San Antonio Spurs,1996,0.72,82,38.4,80.5,6.3,16.1,32.1,64.4,20.3,27.6,11.4,31.5,24.9,7.9,6.5,14.6,22.2,103.4,82,36.8,83.7,5.4,16.3,31.4,67.4,18.1,24.8,13.5,30.2,22.5,7.4,5.2,15.3,24.0,97.1,29.4,-0.33,5.98,110.2,103.5,93.3,0.342,0.2,0.558,0.516,13.6,27.5,0.252,0.472,13.9,70.0,0.216,Alamodome,19791,0.125
Seattle SuperSonics,1996,0.78,82,37.5,78.1,7.1,19.5,30.4,58.6,22.5,29.6,11.6,29.9,24.4,10.8,4.8,17.6,24.0,104.5,82,35.0,79.9,6.5,18.7,28.5,61.2,20.2,28.2,13.1,27.5,21.7,9.2,4.8,18.5,24.5,96.7,29.6,-0.4,7.4,110.3,102.1,93.8,0.379,0.249,0.574,0.526,16.2,29.7,0.288,0.479,16.7,69.5,0.252,KeyArena at Seattle Center,17007,0.5
Toronto Raptors,1996,0.256,82,37.6,80.5,5.0,14.2,32.6,66.2,17.2,23.8,13.1,27.0,23.5,9.1,6.0,18.8,24.2,97.5,82,38.4,80.8,6.3,17.3,32.0,63.5,21.9,29.5,13.4,27.7,24.3,9.3,5.9,16.2,21.2,105.0,26.1,0.31,-7.2,103.8,111.8,93.2,0.296,0.177,0.536,0.499,17.2,32.0,0.214,0.514,14.7,66.8,0.272,SkyDome,23483,0.0
Utah Jazz,1996,0.671,82,38.2,78.3,4.6,12.4,33.6,65.9,21.6,28.1,12.1,28.9,26.1,8.1,5.1,14.8,25.0,102.5,82,33.5,75.3,6.7,17.4,26.8,57.9,22.2,29.5,11.4,26.2,20.0,7.1,5.0,15.7,24.2,95.9,29.5,-0.34,6.25,113.3,106.1,90.0,0.359,0.158,0.566,0.517,14.1,31.6,0.276,0.489,15.1,71.7,0.295,Delta Center,19831,0.25
Vancouver Grizzlies,1996,0.183,82,33.8,79.1,4.5,13.8,29.3,65.3,17.6,24.4,11.7,26.5,20.8,8.9,4.1,16.4,22.6,89.8,82,37.6,79.1,5.6,15.0,32.0,64.1,19.0,26.0,13.4,31.1,24.2,8.5,5.8,17.4,21.8,99.8,27.2,0.43,-9.55,97.6,108.5,91.0,0.308,0.174,0.5,0.456,15.5,27.3,0.223,0.51,16.1,66.3,0.241,General Motors Place,17183,0.0
Washington Bullets,1996,0.476,82,39.0,80.7,6.0,14.8,33.0,65.9,18.4,25.3,11.3,28.4,22.1,7.2,6.2,16.2,24.2,102.5,82,37.3,81.1,4.6,13.5,32.7,67.6,22.2,29.0,13.5,28.9,20.6,8.5,4.8,16.6,23.1,101.5,24.8,-0.07,0.99,108.7,107.6,93.7,0.314,0.183,0.558,0.521,15.0,28.2,0.228,0.489,15.0,67.8,0.274,USAir Arena,17237,0.0
