Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2020,0.299,67,40.6,90.6,12.0,36.1,28.6,54.5,18.5,23.4,9.9,33.4,24.0,7.8,5.1,16.2,23.1,111.8,67,43.3,90.7,11.9,32.7,31.4,58.0,21.2,27.4,11.2,35.9,25.0,9.0,6.4,15.0,21.0,119.7,24.1,0.27,-7.71,107.2,114.8,103.0,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,State Farm Arena,16043,0.0
Boston Celtics,2020,0.667,72,41.3,89.6,12.6,34.5,28.7,55.0,18.6,23.2,10.7,35.4,23.0,8.3,5.6,13.8,21.6,113.7,72,38.4,87.1,11.8,34.8,26.6,52.3,18.8,24.5,10.3,34.0,22.4,7.1,5.5,15.2,20.7,107.3,25.3,-0.47,5.83,113.3,107.0,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,TD Garden,19090,0.25
Brooklyn Nets,2020,0.486,72,40.4,90.3,13.1,38.1,27.3,52.1,17.9,24.1,10.6,37.3,24.5,6.4,4.5,15.3,21.0,111.8,72,41.4,92.9,12.2,34.8,29.2,58.1,17.4,22.6,10.6,35.3,22.6,7.7,5.3,12.8,21.1,112.3,26.3,-0.44,-1.01,108.9,109.5,101.4,0.267,0.423,0.554,0.52,13.1,23.2,0.199,0.511,11.0,77.8,0.187,Barclays Center,16403,0.0
Charlotte Hornets,2020,0.354,65,37.3,85.9,12.1,34.3,25.2,51.6,16.2,21.6,11.0,31.8,23.8,6.6,4.1,14.6,18.8,102.9,65,41.7,87.5,12.4,35.1,29.3,52.5,14.0,18.4,10.9,35.0,26.6,8.0,5.0,14.4,20.6,109.6,24.3,-0.28,-7.03,106.3,113.3,95.8,0.252,0.399,0.539,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,Spectrum Center,15428,0.0
Chicago Bulls,2020,0.338,65,39.6,88.6,12.2,35.1,27.4,53.5,15.5,20.5,10.5,31.4,23.2,10.0,4.1,15.5,21.8,106.8,65,39.5,82.5,11.2,31.6,28.3,50.9,19.7,26.0,10.2,35.4,25.4,8.2,5.9,18.3,19.2,109.9,24.4,-0.93,-4.0,106.7,109.8,99.7,0.231,0.396,0.547,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,United Center,18804,0.0
Cleveland Cavaliers,2020,0.292,65,40.3,87.9,11.2,31.8,29.1,56.1,15.1,19.9,10.8,33.4,23.1,6.9,3.2,16.5,18.3,106.9,65,43.9,89.4,12.4,33.0,31.5,56.4,14.7,19.2,9.7,33.1,26.1,9.4,6.3,13.0,19.6,114.8,25.0,0.12,-7.77,107.5,115.4,98.7,0.227,0.362,0.553,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,Rocket Mortgage Fieldhouse,17861,0.0
Dallas Mavericks,2020,0.573,75,41.7,90.3,15.1,41.3,26.5,49.0,18.6,23.8,10.5,36.4,24.7,6.1,4.8,12.7,19.5,117.0,75,41.9,91.6,12.3,34.9,29.7,56.7,16.0,21.0,10.4,35.0,23.9,7.0,4.1,11.9,21.3,112.1,26.1,-0.07,4.87,116.7,111.7,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,American Airlines Center,20062,0.0
Denver Nuggets,2020,0.63,73,42.0,88.9,11.0,30.6,31.1,58.3,16.2,20.9,10.8,33.4,26.7,8.0,4.6,13.8,20.3,111.3,73,40.0,86.5,12.1,33.9,27.9,52.6,17.1,22.5,10.1,32.6,25.4,7.2,4.4,14.3,20.5,109.2,25.6,0.24,2.35,113.1,111.0,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,Pepsi Center,19186,0.25
Detroit Pistons,2020,0.303,66,39.3,85.7,12.0,32.7,27.3,53.0,16.6,22.4,9.8,32.0,24.1,7.4,4.5,15.3,19.7,107.2,66,41.9,87.3,10.7,29.6,31.3,57.8,16.2,20.9,10.1,33.4,24.6,8.2,5.6,14.0,19.8,110.8,25.9,-0.82,-4.38,109.0,112.7,97.6,0.261,0.381,0.561,0.529,13.8,22.6,0.194,0.541,12.7,75.9,0.186,Little Caesars Arena,15294,0.0
Golden State Warriors,2020,0.231,65,38.6,88.2,10.4,31.3,28.2,56.9,18.7,23.2,10.0,32.9,25.6,8.2,4.6,14.9,20.1,106.3,65,42.2,88.6,13.5,34.8,28.7,53.8,17.1,21.9,10.2,36.3,26.1,8.2,4.9,15.6,20.1,115.0,24.4,0.59,-8.12,105.2,113.8,100.3,0.264,0.355,0.54,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,Chase Center,18064,0.0
