Team,Year,W%,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,OFG%,O3P,O3PA,O3P%,O2P,O2PA,O2P%,OFT,OFTA,OFT%,OORB,ODRB,OTRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,2017,0.524,82,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,82,38.8,87.3,0.444,10.9,30.5,0.357,27.9,56.7,0.491,15.6,20.2,0.772,10.7,33.2,43.9,23.4,9.0,5.2,15.4,21.6,104.0,27.9,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,Philips Arena,15959,0.0
Boston Celtics,2017,0.646,82,38.6,85.1,0.454,12.0,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,82,38.6,85.8,0.45,9.0,27.0,0.332,29.7,58.8,0.505,19.1,24.9,0.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4,25.9,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,TD Garden,18553,0.25
Brooklyn Nets,2017,0.244,82,37.8,85.2,0.444,10.7,31.6,0.338,27.1,53.6,0.506,19.4,24.6,0.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8,82,41.6,90.8,0.458,10.0,27.2,0.366,31.7,63.6,0.498,19.3,25.0,0.772,11.0,36.2,47.2,23.0,9.5,5.6,13.3,20.4,112.5,26.0,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,Barclays Center,15429,0.0
Charlotte Hornets,2017,0.439,82,37.7,85.4,0.442,10.0,28.6,0.351,27.7,56.7,0.488,19.4,23.8,0.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,104.9,82,39.5,86.5,0.456,11.6,31.4,0.369,27.9,55.1,0.506,14.2,18.2,0.776,8.9,35.5,44.4,24.5,6.6,5.5,13.1,19.9,104.7,26.5,-0.26,-0.07,108.8,108.6,0.2,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,Spectrum Center,17333,0.0
Chicago Bulls,2017,0.5,82,38.6,87.1,0.444,7.6,22.3,0.34,31.0,64.8,0.479,18.0,22.5,0.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9,82,39.5,86.6,0.456,8.9,25.9,0.345,30.5,60.7,0.503,14.6,19.0,0.77,10.3,32.9,43.2,23.6,7.3,4.6,13.4,18.8,102.4,26.9,-0.39,0.03,107.4,107.0,0.4,95.3,0.259,0.256,0.53,0.487,12.3,27.0,0.206,0.507,12.4,76.8,0.169,United Center,21680,0.0
Cleveland Cavaliers,2017,0.622,82,39.9,84.9,0.47,13.0,33.9,0.384,26.9,51.0,0.528,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3,82,40.6,88.8,0.458,10.4,28.7,0.361,30.3,60.1,0.504,15.5,20.0,0.773,11.0,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2,29.2,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,Quicken Loans Arena,20562,0.5
Dallas Mavericks,2017,0.402,82,36.2,82.3,0.44,10.7,30.2,0.355,25.5,52.2,0.489,14.8,18.5,0.801,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9,82,37.0,79.0,0.469,9.6,25.3,0.38,27.4,53.7,0.51,17.2,22.3,0.772,8.9,35.6,44.5,21.3,6.5,3.4,14.9,19.4,100.8,27.6,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,American Airlines Center,19789,0.0
Denver Nuggets,2017,0.488,82,41.2,87.7,0.469,10.6,28.8,0.368,30.6,58.9,0.519,18.7,24.2,0.774,11.8,34.6,46.4,25.3,6.9,3.9,15.0,19.1,111.7,82,42.1,88.4,0.477,9.9,26.3,0.375,32.3,62.1,0.519,17.1,21.9,0.782,9.4,31.4,40.8,24.0,8.3,4.9,12.0,20.2,111.2,25.2,0.19,0.7,113.2,112.7,0.5,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,Pepsi Center,14672,0.0
Detroit Pistons,2017,0.451,82,39.9,88.8,0.449,7.7,23.4,0.33,32.2,65.5,0.492,13.9,19.3,0.719,11.1,34.6,45.7,21.1,7.0,3.8,11.9,17.9,101.3,82,38.3,83.3,0.46,9.4,25.6,0.366,29.0,57.7,0.502,16.4,21.0,0.78,8.0,34.9,42.9,23.5,6.7,4.1,12.8,17.5,102.5,25.4,-0.17,-1.29,106.0,107.1,-1.1,95.0,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,The Palace of Auburn Hills,15979,0.0
Golden State Warriors,2017,0.817,82,43.1,87.1,0.495,12.0,31.2,0.383,31.1,55.8,0.557,17.8,22.6,0.788,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9,82,38.8,89.2,0.435,9.0,27.8,0.324,29.8,61.4,0.485,17.7,23.2,0.761,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3,28.2,-0.28,11.35,115.6,104.0,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,Oracle Arena,19596,1.0
Houston Rockets,2017,0.671,82,40.3,87.2,0.462,14.4,40.3,0.357,25.9,46.9,0.552,20.3,26.5,0.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,82,41.2,88.9,0.463,10.0,29.1,0.343,31.2,59.7,0.522,17.3,22.2,0.778,10.7,33.4,44.1,24.1,8.5,5.0,15.1,20.4,109.6,27.4,0.08,5.84,114.7,109.0,5.7,100.0,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,Toyota Center,16973,0.125
Indiana Pacers,2017,0.512,82,39.3,84.5,0.465,8.6,23.0,0.376,30.6,61.5,0.498,17.9,22.1,0.81,9.0,33.0,42.0,22.5,8.2,5.0,13.8,19.5,105.1,82,38.0,84.3,0.451,10.4,29.1,0.355,27.6,55.1,0.501,19.0,24.1,0.789,10.7,33.5,44.3,22.3,8.1,5.0,14.9,19.5,105.3,27.0,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,Bankers Life Fieldhouse,16697,0.0
