Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Indiana Pacers,1998,0.707,82,35.6,75.9,4.9,12.5,30.7,63.3,19.9,26.0,10.7,28.6,23.0,7.9,4.5,14.2,22.7,96.0,82,34.0,78.7,3.3,10.6,30.7,68.1,18.6,25.6,13.6,27.5,19.4,7.9,4.5,15.1,22.5,89.9,29.7,0.16,6.25,108.4,101.6,87.9,0.343,0.165,0.55,0.502,14.0,27.9,0.262,0.453,14.4,67.8,0.236,Market Square Arena,15763,0.25
Los Angeles Clippers,1998,0.207,82,35.7,81.6,6.4,17.9,29.3,63.7,18.0,25.0,12.7,27.8,18.7,7.6,5.6,16.1,22.3,95.9,82,39.5,83.3,4.1,11.3,35.4,72.1,20.3,27.6,14.3,30.1,22.3,8.9,5.0,14.1,21.3,103.3,25.7,-0.16,-7.53,103.3,111.2,92.4,0.306,0.219,0.518,0.477,14.8,29.6,0.221,0.498,12.9,66.1,0.243,Los Angeles Memorial Sports Arena,9128,0.0
Los Angeles Lakers,1998,0.744,82,38.4,79.7,6.1,17.3,32.3,62.5,22.7,33.5,13.2,30.1,24.5,9.0,6.8,15.3,22.7,105.5,82,36.4,82.9,4.6,13.1,31.8,69.9,20.4,27.8,13.7,28.5,22.5,8.0,5.2,15.6,26.2,97.8,25.8,-0.87,6.88,111.9,103.7,93.6,0.42,0.216,0.559,0.519,14.0,31.6,0.285,0.467,14.1,68.8,0.245,Great Western Forum,16878,0.25
Miami Heat,1998,0.671,82,34.8,77.2,6.7,18.8,28.1,58.3,18.8,25.4,12.5,29.5,21.4,8.1,5.2,15.0,24.2,95.0,82,33.2,77.5,3.7,11.2,29.5,66.3,19.9,26.8,12.9,27.2,19.9,7.8,4.5,14.8,22.6,90.0,28.1,0.16,5.09,107.6,102.0,87.9,0.329,0.244,0.538,0.494,14.5,31.5,0.243,0.452,14.2,69.6,0.257,Miami Arena,14997,0.0
Milwaukee Bucks,1998,0.439,82,35.6,78.0,3.0,8.6,32.5,69.5,20.3,26.4,12.6,27.3,20.1,8.9,4.4,16.9,23.4,94.5,82,35.5,77.1,3.7,11.3,31.8,65.7,21.7,29.2,12.2,27.6,21.3,9.3,4.9,16.4,22.0,96.4,27.6,0.58,-1.33,103.5,105.6,90.2,0.339,0.11,0.527,0.475,15.8,31.4,0.26,0.485,15.5,69.1,0.282,Bradley Center,15562,0.0
Minnesota Timberwolves,1998,0.549,82,38.5,83.5,3.7,10.6,34.8,72.8,20.4,27.5,13.0,29.6,25.2,7.8,5.2,13.9,23.0,101.1,82,37.5,83.7,5.3,14.7,32.2,69.0,20.1,27.1,13.6,29.4,23.3,7.4,5.0,15.0,22.7,100.4,26.4,-0.54,0.17,107.8,107.1,92.6,0.329,0.128,0.529,0.483,12.7,30.6,0.244,0.48,13.5,68.5,0.24,Target Center,18014,0.0
New Jersey Nets,1998,0.524,82,37.3,84.5,3.8,11.4,33.5,73.1,21.3,28.7,16.4,26.1,20.5,9.5,3.8,14.4,23.4,99.6,82,36.8,78.1,4.3,12.6,32.4,65.6,20.2,27.0,13.2,28.2,21.6,7.5,6.3,18.1,24.7,98.1,27.8,0.31,1.88,108.3,106.6,91.0,0.339,0.135,0.513,0.463,12.9,36.7,0.253,0.499,16.7,66.4,0.258,Continental Airlines Arena,17525,0.0
New York Knicks,1998,0.524,82,34.9,78.2,4.7,13.9,30.3,64.3,17.1,22.1,11.9,29.7,21.8,7.7,3.4,15.2,23.7,91.6,82,32.0,74.8,4.0,12.7,28.0,62.0,21.1,28.1,10.4,28.5,19.3,8.0,3.8,15.0,20.8,89.1,30.2,0.28,2.74,103.0,100.3,88.2,0.283,0.178,0.521,0.476,14.7,29.5,0.218,0.455,14.7,74.0,0.282,Madison Square Garden (IV),19763,0.125
Orlando Magic,1998,0.5,82,33.8,78.7,3.6,11.1,30.2,67.7,18.9,26.1,14.4,26.9,20.7,7.9,5.4,15.3,19.7,90.1,82,35.7,78.8,3.8,11.8,31.9,67.0,15.9,21.6,13.3,27.7,21.2,9.1,4.7,15.4,22.8,91.2,30.8,0.54,-0.53,102.6,103.8,87.1,0.331,0.141,0.499,0.452,14.5,34.2,0.24,0.478,14.8,66.9,0.202,Orlando Arena,17113,0.0
Philadelphia 76ers,1998,0.378,82,34.6,78.2,3.0,9.9,31.6,68.3,21.1,28.7,13.7,28.0,21.1,8.9,6.0,16.5,22.9,93.3,82,35.4,78.5,4.7,13.6,30.8,64.9,20.1,27.6,13.6,28.5,23.5,9.3,6.2,16.1,23.2,95.7,25.4,0.5,-1.89,102.8,105.4,90.4,0.367,0.126,0.514,0.462,15.4,32.5,0.271,0.481,15.1,67.3,0.256,CoreStates Center,15986,0.0
Phoenix Suns,1998,0.683,82,38.3,81.8,5.3,14.8,33.0,67.1,17.8,23.8,12.1,29.9,25.9,9.2,5.2,15.1,21.5,99.6,82,35.6,80.7,4.8,13.3,30.8,67.4,18.3,25.0,12.8,28.6,22.0,8.8,3.9,16.6,21.6,94.4,28.2,-0.75,4.44,107.4,101.8,91.4,0.29,0.18,0.54,0.5,14.0,29.7,0.217,0.471,15.3,70.0,0.227,America West Arena,19023,0.0
Portland Trail Blazers,1998,0.561,82,35.2,78.0,4.0,12.8,31.2,65.2,20.0,27.1,13.2,30.8,21.5,7.1,5.7,16.9,22.7,94.3,82,34.3,79.5,4.5,13.3,29.7,66.3,19.8,27.5,12.3,26.8,21.5,9.4,5.4,14.1,22.2,92.9,26.1,-0.57,0.83,104.0,102.4,90.0,0.348,0.164,0.524,0.476,15.8,33.0,0.256,0.46,13.4,71.4,0.249,Rose Garden Arena,20577,0.0
Sacramento Kings,1998,0.329,82,36.1,81.5,3.5,9.8,32.6,71.7,17.6,25.6,13.3,28.1,22.4,7.3,5.1,15.5,22.1,93.1,82,37.7,82.6,4.2,11.8,33.5,70.8,19.0,25.6,14.1,30.9,22.2,8.5,5.7,15.3,21.6,98.7,26.6,-0.25,-5.83,100.8,106.9,92.1,0.314,0.121,0.502,0.464,14.3,30.2,0.215,0.482,14.0,66.6,0.23,ARCO Arena (II),14767,0.0
San Antonio Spurs,1998,0.683,82,35.3,75.5,3.7,10.5,31.7,64.9,18.2,26.4,12.0,32.2,22.4,6.3,6.9,16.1,21.1,92.5,82,33.4,81.2,4.1,12.5,29.3,68.6,17.7,23.9,12.4,27.3,19.0,8.9,4.6,12.7,22.5,88.5,28.7,-0.69,3.3,103.8,99.4,88.4,0.35,0.139,0.531,0.493,15.6,30.6,0.241,0.437,12.2,72.2,0.218,Alamodome,19109,0.125
Seattle SuperSonics,1998,0.744,82,37.2,78.8,7.6,19.1,29.6,59.6,18.5,25.7,11.4,27.1,24.2,9.8,4.6,14.0,22.1,100.6,82,35.3,79.2,5.1,15.7,30.2,63.5,17.7,24.4,13.9,28.2,22.3,7.8,4.9,17.0,22.2,93.4,31.1,-0.84,6.33,111.6,103.6,89.8,0.327,0.243,0.558,0.521,13.4,28.7,0.236,0.478,15.9,66.1,0.223,KeyArena at Seattle Center,17072,0.125
Toronto Raptors,1998,0.195,82,36.2,83.1,4.5,13.2,31.6,69.8,18.0,25.1,14.5,26.2,21.3,9.4,8.1,16.7,22.6,94.9,82,39.9,83.2,4.8,12.6,35.1,70.6,19.5,27.9,15.5,30.6,27.1,9.0,6.3,16.7,21.3,104.2,24.8,0.94,-8.33,101.2,111.0,92.6,0.302,0.159,0.504,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,16527,0.0
Utah Jazz,1998,0.756,82,36.5,74.5,3.0,8.2,33.5,66.4,24.9,32.2,11.7,29.3,25.2,7.9,5.0,15.4,23.9,101.0,82,34.2,77.9,4.9,13.7,29.3,64.2,21.1,27.9,12.0,24.5,20.6,7.9,5.2,14.1,26.0,94.4,29.7,-0.81,5.73,112.7,105.4,89.2,0.433,0.11,0.569,0.51,14.8,32.3,0.334,0.471,13.5,71.0,0.271,Delta Center,19900,0.5
Vancouver Grizzlies,1998,0.232,82,36.7,80.1,4.0,11.0,32.7,69.1,19.3,26.2,13.2,28.2,23.9,7.5,4.3,17.1,22.1,96.6,82,39.4,82.9,5.2,13.5,34.2,69.3,19.9,27.2,14.0,28.7,25.6,10.2,6.6,14.2,22.3,103.9,26.5,-0.17,-7.47,104.1,112.0,92.1,0.327,0.137,0.527,0.482,15.8,31.5,0.242,0.507,13.0,66.9,0.24,General Motors Place,16109,0.0
Washington Wizards,1998,0.512,82,37.6,83.1,3.9,11.5,33.7,71.5,18.2,26.3,13.7,28.5,23.2,8.4,4.6,14.1,22.4,97.2,82,36.3,79.8,4.2,11.9,32.0,67.8,19.8,26.5,12.5,30.1,21.0,7.7,4.5,16.2,23.5,96.6,26.7,0.53,1.11,105.2,104.5,91.8,0.317,0.139,0.513,0.476,13.0,31.2,0.219,0.481,15.1,69.5,0.248,MCI Center,19665,0.0
