Team,Year,W%,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PPG,OG,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPPG,Age,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend./G,Champion
Atlanta Hawks,1998,0.61,82,35.2,77.5,4.1,12.4,31.1,65.1,21.3,28.2,13.5,29.5,19.1,8.0,6.0,14.8,20.4,95.9,82,36.1,81.7,4.2,12.4,31.9,69.3,15.9,21.6,13.2,26.2,21.4,7.5,4.5,13.6,23.1,92.3,29.4,0.34,3.85,108.2,104.3,87.7,0.364,0.16,0.533,0.481,14.1,33.9,0.275,0.468,13.0,69.1,0.194,Georgia Dome,20242,0.0
Boston Celtics,1998,0.439,82,36.7,84.6,5.1,15.2,31.7,69.3,17.4,24.0,14.6,24.9,22.1,12.0,4.5,16.2,26.9,95.9,82,34.9,72.9,3.6,11.5,31.3,61.5,25.0,33.6,12.4,29.8,22.3,8.5,5.0,20.6,21.0,98.5,23.9,0.66,-1.96,102.6,105.4,93.3,0.283,0.18,0.504,0.464,14.6,32.8,0.206,0.504,19.0,66.8,0.343,FleetCenter,18132,0.0
Charlotte Hornets,1998,0.622,82,36.2,77.4,4.2,11.0,32.0,66.3,20.0,26.7,12.0,28.5,23.7,8.4,3.8,15.2,21.4,96.6,82,36.3,78.3,4.5,13.0,31.8,65.3,17.5,24.0,11.8,27.5,22.0,7.1,4.5,15.1,23.2,94.6,29.2,0.45,2.45,107.5,105.3,89.4,0.345,0.142,0.542,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,23406,0.125
Chicago Bulls,1998,0.756,82,37.4,82.9,3.8,11.7,33.6,71.2,18.2,24.5,15.2,29.7,23.8,8.5,4.3,14.4,20.6,96.7,82,34.1,79.1,4.0,12.5,30.1,66.6,17.4,23.9,12.4,27.3,19.5,8.0,4.3,15.5,21.6,89.6,31.7,0.13,7.24,107.7,99.8,89.0,0.295,0.141,0.516,0.473,13.3,35.7,0.219,0.457,14.7,70.6,0.22,United Center,23986,1.0
Cleveland Cavaliers,1998,0.573,82,34.4,75.7,3.6,9.8,30.7,65.9,20.2,26.7,11.6,28.4,23.1,9.9,5.1,17.3,23.6,92.5,82,32.8,75.8,4.2,12.1,28.6,63.7,20.0,26.5,11.6,27.2,21.8,8.6,5.5,17.6,23.2,89.8,24.6,0.33,3.06,102.2,99.1,89.9,0.352,0.129,0.529,0.478,16.5,30.0,0.266,0.46,16.8,71.1,0.264,Gund Arena,16942,0.0
Dallas Mavericks,1998,0.244,82,35.1,82.4,5.1,14.4,30.0,67.9,16.0,21.2,12.3,27.8,18.7,7.9,5.7,14.4,20.0,91.4,82,38.3,83.2,4.7,13.8,33.6,69.4,16.3,22.8,14.9,32.2,23.0,8.0,4.6,15.1,19.6,97.5,26.3,-0.22,-6.33,100.5,107.2,89.9,0.257,0.175,0.498,0.458,13.6,27.6,0.194,0.488,14.0,65.1,0.195,Reunion Arena,13023,0.0
Denver Nuggets,1998,0.134,82,32.6,78.2,3.5,10.9,29.1,67.3,20.2,26.2,12.7,26.3,18.9,8.1,4.8,16.0,23.6,89.0,82,36.8,77.7,5.1,13.5,31.7,64.2,22.2,29.4,13.4,29.3,24.2,8.1,6.5,15.2,21.7,100.8,26.5,0.04,-11.74,99.0,112.1,89.7,0.335,0.139,0.496,0.44,15.1,30.2,0.259,0.506,14.3,66.3,0.285,McNichols Sports Arena,11800,0.0
Detroit Pistons,1998,0.451,82,34.9,77.7,3.6,11.4,31.3,66.3,20.8,27.9,12.7,28.5,19.5,8.3,4.2,14.6,22.0,94.2,82,34.6,77.8,4.4,13.4,30.2,64.4,18.9,25.3,12.1,28.5,21.4,7.9,4.7,15.4,22.9,92.6,27.2,0.37,1.95,105.3,103.5,88.2,0.359,0.147,0.523,0.472,14.0,30.9,0.267,0.474,14.8,70.2,0.243,The Palace of Auburn Hills,19380,0.0
Golden State Warriors,1998,0.232,82,34.7,83.9,2.3,8.5,32.4,75.5,16.6,23.3,15.7,30.2,20.8,7.6,5.5,16.7,22.7,88.3,82,36.5,82.2,4.1,11.7,32.4,70.5,20.3,27.9,13.8,30.9,24.5,9.2,5.8,14.1,20.0,97.4,25.9,-0.08,-9.2,95.8,105.7,91.4,0.278,0.101,0.468,0.427,15.1,33.7,0.197,0.469,13.0,68.6,0.247,The Arena in Oakland,12201,0.0
Houston Rockets,1998,0.5,82,35.9,79.4,7.0,20.4,28.9,59.1,19.9,25.9,12.0,28.7,21.9,8.4,3.6,15.8,20.2,98.8,82,38.7,82.5,5.0,13.7,33.7,68.9,17.1,23.1,12.7,28.4,23.3,8.9,4.5,14.3,21.3,99.5,32.0,-0.47,-1.23,107.7,108.6,91.0,0.326,0.256,0.544,0.496,14.8,29.8,0.251,0.499,13.3,69.3,0.208,The Summit,16285,0.0
